sex,race,y_true,y_prob,y_pred
Male,White,1,0.65229595,1
Male,White,0,0.15876722,0
Male,White,0,0.03939503,0
Male,White,1,0.7245897,1
Male,White,0,0.13978648,0
Male,White,0,0.13779384,0
Female,White,0,0.061182942,0
Male,White,1,0.13263772,0
Male,White,0,0.57907474,1
Female,White,0,0.22307365,0
Male,White,0,0.0010826342,0
Male,White,1,0.43508744,0
Male,Asian-Pac-Islander,0,0.16705242,0
Male,White,1,0.73092425,1
Female,White,0,0.0012252511,0
Male,White,0,0.6167295,1
Male,White,0,0.49497068,0
Male,White,1,0.9029066,1
Female,Black,0,0.0031688833,0
Female,Black,0,0.029927054,0
Female,White,1,0.6004623,1
Male,White,0,0.64480054,1
Male,White,1,0.4986869,0
Male,White,0,0.1384995,0
Male,White,0,0.253305,0
Female,White,0,0.00037397243,0
Female,White,0,0.032840393,0
Female,Black,0,0.034511037,0
Male,White,0,0.03298384,0
Male,White,1,0.97458905,1
Male,Black,0,0.0008652168,0
Female,White,0,0.0021929082,0
Female,White,0,0.008900364,0
Female,White,0,0.15284558,0
Female,White,0,0.004906076,0
Female,White,1,0.4657511,0
Male,White,0,0.058796052,0
Male,White,0,0.033809863,0
Male,White,1,0.73483545,1
Male,White,1,0.9016156,1
Male,Asian-Pac-Islander,0,0.008910608,0
Male,White,0,0.040907573,0
Female,White,0,0.17272638,0
Male,White,0,0.57139766,1
Male,White,1,0.97523093,1
Female,Black,1,0.99404013,1
Male,White,1,0.78553367,1
Male,White,0,0.031685457,0
Female,White,0,0.0040278593,0
Male,White,0,0.047114063,0
Male,White,1,0.3670379,0
Male,White,0,0.41091356,0
Male,White,0,0.4026188,0
Male,White,0,0.2841142,0
Female,White,0,0.41565055,0
Male,White,0,0.001000789,0
Female,White,0,0.09617639,0
Male,White,0,0.18881185,0
Male,White,1,0.18409467,0
Male,White,0,0.006650317,0
Male,White,1,0.698296,1
Female,Black,0,0.019901762,0
Female,White,0,0.02058262,0
Male,White,0,0.3695359,0
Male,White,0,0.00043565358,0
Female,White,0,0.0056225234,0
Male,White,0,0.36934933,0
Female,White,0,0.0002973659,0
Female,White,0,0.5113319,1
Male,White,1,0.8214602,1
Female,White,0,0.008753021,0
Male,White,1,1.0,1
Female,White,0,0.0010368677,0
Male,White,0,0.0039608763,0
Male,White,0,0.5555875,1
Female,White,0,0.04470759,0
Male,White,0,0.75653446,1
Male,White,0,0.39874613,0
Male,White,0,0.42376658,0
Male,White,0,0.00028601623,0
Male,White,0,0.027433788,0
Female,White,0,0.0004466169,0
Female,White,0,0.0016528416,0
Male,White,0,0.16667658,0
Male,White,1,0.32130033,0
Female,White,0,0.00016494794,0
Male,White,0,0.81982946,1
Female,White,0,0.12632558,0
Male,White,1,0.9862357,1
Male,White,0,0.19457911,0
Male,White,1,0.7486814,1
Male,White,1,0.31828728,0
Male,White,0,0.31693333,0
Female,White,0,0.007603855,0
Female,White,0,0.40682963,0
Female,White,0,0.014646013,0
Male,White,1,0.42539313,0
Male,White,0,0.5398629,1
Male,White,0,0.00884197,0
Female,Asian-Pac-Islander,0,0.20693755,0
Male,White,0,0.17018384,0
Female,White,0,0.026200125,0
Male,White,0,0.17264497,0
Female,White,0,0.0315635,0
Male,White,0,0.007153293,0
Female,White,0,0.00019381635,0
Female,White,1,0.73468137,1
Female,White,0,0.04649289,0
Female,White,0,0.00069912395,0
Male,White,1,0.98742604,1
Male,White,0,0.089266755,0
Female,White,0,0.050144646,0
Female,White,0,0.023532508,0
Male,White,0,0.3314668,0
Female,White,0,0.1862288,0
Male,White,0,0.14040162,0
Male,White,0,0.0032152247,0
Male,White,1,0.62145007,1
Male,White,0,0.0019004499,0
Female,White,0,0.04578875,0
Male,Black,1,0.7532539,1
Male,White,0,0.6793802,1
Male,White,0,0.634284,1
Male,Black,0,0.36644652,0
Male,White,0,0.2929541,0
Female,White,0,0.00835986,0
Male,White,1,0.76952523,1
Male,White,0,0.2710563,0
Male,White,0,0.062483612,0
Female,White,0,0.014659143,0
Male,White,0,0.004424767,0
Male,White,0,0.10988607,0
Male,Black,0,0.020527182,0
Male,White,0,0.09204576,0
Male,White,0,0.004637043,0
Male,White,1,0.5320407,1
Male,White,1,0.97891736,1
Female,Asian-Pac-Islander,0,0.013228782,0
Female,White,1,0.14064826,0
Male,White,1,0.6047993,1
Female,White,1,0.026577193,0
Male,White,0,0.00129763,0
Male,White,1,0.33529472,0
Male,White,0,0.0037979577,0
Male,White,0,0.11038313,0
Male,White,1,0.621634,1
Female,White,0,0.049883403,0
Male,White,0,0.3792952,0
Male,Asian-Pac-Islander,0,0.26337597,0
Male,White,0,0.6495522,1
Male,White,0,0.11335017,0
Male,White,0,0.1306333,0
Male,White,0,0.0006301108,0
Female,White,0,0.045641873,0
Male,White,0,0.36751574,0
Male,White,1,0.23598886,0
Female,Black,0,0.002358803,0
Male,White,1,0.75545484,1
Female,White,0,0.024210194,0
Male,White,1,0.5109575,1
Male,White,0,0.004808607,0
Male,White,1,0.30794147,0
Male,White,0,0.018127954,0
Female,White,0,0.025590513,0
Male,White,0,0.021049472,0
Male,Black,0,0.03366531,0
Male,Black,0,0.0003070564,0
Male,White,1,0.54969674,1
Male,White,0,0.06071215,0
Female,White,0,0.10772848,0
Male,White,1,0.3981134,0
Male,White,1,0.6999779,1
Male,White,0,0.38727593,0
Male,White,1,0.50128007,1
Male,White,0,0.76690435,1
Female,White,0,0.012178044,0
Male,White,0,0.20443559,0
Male,Black,0,0.33037308,0
Female,Black,0,0.0008768882,0
Female,White,1,0.05930729,0
Male,White,0,0.0001921412,0
Male,White,0,0.0009209816,0
Male,White,0,0.39455947,0
Male,White,1,0.82211745,1
Female,White,0,0.027433101,0
Female,White,0,0.17192557,0
Male,White,0,0.0012947947,0
Female,Other,0,0.0041569266,0
Male,White,0,0.002379502,0
Male,White,1,0.5855652,1
Female,White,0,0.0010190245,0
Male,White,0,0.24048819,0
Male,White,0,0.49166086,0
Female,White,0,0.007887416,0
Male,White,0,0.1055185,0
Male,White,1,0.93929726,1
Male,White,0,0.5412664,1
Male,White,1,0.65695846,1
Female,White,0,0.00051589054,0
Male,White,0,0.4347503,0
Male,White,1,0.53221625,1
Male,Asian-Pac-Islander,0,0.8029895,1
Male,White,1,0.9312867,1
Male,White,1,1.0,1
Male,White,0,0.0065412163,0
Male,White,0,0.05471607,0
Male,Black,0,0.09221474,0
Female,White,0,0.008202727,0
Male,White,0,0.0883421,0
Male,White,0,0.6291516,1
Male,White,0,0.03431779,0
Male,White,0,0.35031536,0
Female,White,0,0.01626051,0
Male,White,0,0.115902945,0
Male,White,0,0.12286978,0
Male,White,1,0.98815554,1
Male,White,1,0.8246826,1
Male,White,1,0.5638597,1
Female,White,0,7.890716e-05,0
Male,Black,0,0.10906866,0
Female,White,1,0.6230737,1
Male,White,0,0.0007204937,0
Male,White,1,0.26237696,0
Male,White,0,0.13597663,0
Male,White,0,0.02355066,0
Male,White,0,0.15343119,0
Male,White,1,0.817318,1
Female,Black,1,0.76223826,1
Male,White,0,0.13768508,0
Male,White,0,0.06584941,0
Male,White,0,0.0043164394,0
Female,White,0,0.00480394,0
Male,White,0,0.011438321,0
Female,White,1,0.42098492,0
Male,White,1,0.4449747,0
Male,White,0,0.114119045,0
Female,White,1,0.5787423,1
Male,White,0,0.3234866,0
Female,White,0,0.0026136471,0
Male,White,0,0.00040705476,0
Male,White,0,0.003300605,0
Male,White,1,0.019601272,0
Male,White,0,0.40547678,0
Male,White,0,0.0042213583,0
Female,White,0,0.290091,0
Female,White,0,0.2947585,0
Male,White,0,0.007234682,0
Male,White,0,0.00011282598,0
Male,Black,0,0.09796167,0
Male,White,0,0.10424357,0
Male,White,0,0.41516805,0
Male,White,0,0.101674736,0
Female,Black,0,0.01078612,0
Male,White,0,0.5390354,1
Male,Black,0,0.0027761182,0
Female,White,0,0.00042025576,0
Female,White,0,0.0070647653,0
Male,White,0,0.010457411,0
Male,White,0,0.0006600819,0
Female,White,0,0.08817034,0
Male,White,0,0.15314305,0
Male,White,0,0.0036909187,0
Male,White,0,0.04360964,0
Male,White,0,0.17791118,0
Male,White,0,0.015847236,0
Male,White,1,0.528061,1
Male,White,1,0.9891663,1
Male,White,1,0.7166933,1
Male,White,0,0.018890658,0
Female,White,0,0.06304531,0
Male,White,0,0.18097863,0
Male,White,0,0.0005919856,0
Male,White,0,0.090928264,0
Male,White,0,0.38894516,0
Male,White,1,0.3119196,0
Female,Black,0,0.019918548,0
Male,White,0,0.03447789,0
Male,Amer-Indian-Eskimo,0,0.0006059842,0
Male,White,1,0.33705103,0
Female,White,0,0.008786942,0
Male,White,1,0.88209903,1
Male,White,0,0.57623005,1
Female,Asian-Pac-Islander,0,0.02197035,0
Male,White,0,0.0019242872,0
Female,White,0,0.0019151979,0
Male,Other,1,0.5590341,1
Male,White,0,0.013176958,0
Male,White,0,0.004399966,0
Male,White,0,0.0846803,0
Male,White,0,0.5336727,1
Female,White,0,0.018225243,0
Male,White,1,0.35491395,0
Female,White,0,0.024128372,0
Male,White,0,0.44032946,0
Male,White,1,0.5459601,1
Female,White,1,0.6056368,1
Female,Black,0,0.0020049803,0
Male,White,0,0.11759827,0
Male,White,0,0.0021843514,0
Male,White,0,0.27910134,0
Male,White,1,0.60967183,1
Male,White,0,0.19029799,0
Male,Other,0,0.078755714,0
Male,White,1,0.4013244,0
Female,White,1,0.7593402,1
Male,Black,0,0.0051308055,0
Female,White,0,0.0046047326,0
Male,White,0,0.5472976,1
Female,Black,0,0.014279597,0
Male,Black,0,0.42420763,0
Male,White,0,0.6252873,1
Male,White,0,0.8866535,1
Male,Black,0,0.0012253084,0
Male,White,0,0.70912933,1
Female,White,0,0.0011546044,0
Male,White,1,0.35491395,0
Female,White,0,0.004235368,0
Female,White,0,0.015822113,0
Male,White,1,0.028480614,0
Male,Black,0,0.041030545,0
Male,White,0,0.14703798,0
Male,White,0,0.09845865,0
Male,White,0,0.045994043,0
Female,White,0,0.14862515,0
Male,White,1,0.41052452,0
Female,White,0,0.00037964093,0
Female,White,1,0.9601039,1
Female,Black,0,0.0045786146,0
Male,White,0,0.016332585,0
Male,White,0,0.005256271,0
Female,Amer-Indian-Eskimo,0,0.015372426,0
Female,White,0,0.012588107,0
Male,White,0,0.40926623,0
Female,Black,0,0.028021539,0
Female,White,0,0.08533462,0
Male,White,0,0.00015241957,0
Male,White,0,0.56765205,1
Female,White,0,0.14076288,0
Male,White,0,0.24249306,0
Male,White,0,0.31552917,0
Female,White,0,0.000591615,0
Male,White,0,0.53927034,1
Male,White,0,0.0013954173,0
Female,White,0,0.017247327,0
Female,White,0,0.0002695971,0
Female,White,0,0.017169906,0
Male,White,0,0.33002162,0
Male,White,0,0.010889737,0
Female,White,0,0.00019160661,0
Female,White,0,0.0240432,0
Female,White,0,0.027585097,0
Male,White,0,0.031360917,0
Female,White,0,0.061371647,0
Female,White,0,0.028392369,0
Female,Black,0,0.0019883486,0
Female,White,0,0.00092132256,0
Male,White,0,0.29105976,0
Male,White,0,0.022355553,0
Male,White,0,0.11029844,0
Male,White,0,0.30488953,0
Male,White,0,0.3093816,0
Female,White,0,0.01311224,0
Male,White,0,0.22242525,0
Female,White,0,0.35781026,0
Female,White,1,0.65366167,1
Female,White,0,0.09413406,0
Male,White,0,0.128135,0
Male,White,0,0.0038545306,0
Male,White,0,0.21495888,0
Female,White,0,0.003794508,0
Male,White,1,0.6800591,1
Male,White,1,0.5555944,1
Male,White,1,0.7554169,1
Male,White,0,0.36484808,0
Male,White,0,0.00025996848,0
Male,Other,0,0.0010264857,0
Female,White,0,0.013964105,0
Male,White,0,0.38599277,0
Male,White,0,0.10284507,0
Female,White,0,0.0005867715,0
Male,White,0,0.62919927,1
Male,White,1,0.8660734,1
Male,Asian-Pac-Islander,0,0.0036596921,0
Male,White,0,0.4349973,0
Female,White,1,0.8675835,1
Female,White,0,0.0010325934,0
Female,White,0,0.46689487,0
Male,White,0,0.3508322,0
Male,White,0,7.2574956e-05,0
Female,Black,0,0.00064524304,0
Male,White,0,0.028282316,0
Female,White,0,0.55056083,1
Male,White,0,0.15286866,0
Female,White,0,0.0017711013,0
Male,White,1,0.82691365,1
Male,Black,1,0.3308359,0
Female,White,0,0.06352105,0
Female,White,0,0.00038330292,0
Female,White,0,0.037193004,0
Female,White,0,0.005489837,0
Female,White,0,0.03362582,0
Male,White,0,0.34590265,0
Female,White,0,0.012632946,0
Male,White,0,0.0010041225,0
Male,Other,0,0.083935976,0
Female,White,0,0.0009879144,0
Female,White,0,0.010792451,0
Female,White,0,0.48991942,0
Male,White,0,0.086575024,0
Male,White,0,0.011652253,0
Male,White,0,0.005183835,0
Male,White,0,0.17787363,0
Male,White,0,0.01666043,0
Male,White,1,0.9985025,1
Male,White,0,0.020710986,0
Male,White,1,0.7864889,1
Female,Black,1,0.081160605,0
Male,White,0,0.007890734,0
Male,White,0,0.14452416,0
Female,White,0,0.0015254682,0
Male,White,0,0.14094773,0
Female,White,0,0.0035194575,0
Male,White,0,0.15708102,0
Male,Black,1,0.6132232,1
Female,White,1,0.7496343,1
Male,White,0,0.0015932089,0
Female,Black,1,0.0053644567,0
Male,White,1,0.85539854,1
Male,White,0,0.5308471,1
Male,White,1,0.89737326,1
Female,White,1,0.18791562,0
Male,White,0,0.30349234,0
Female,White,0,0.033702627,0
Male,White,1,0.8636709,1
Male,White,0,0.0030196917,0
Female,White,1,0.14805973,0
Male,White,0,0.46204612,0
Male,White,0,0.26302463,0
Female,White,0,0.028194055,0
Male,White,0,0.002274314,0
Female,White,0,0.00033413395,0
Male,White,0,0.3803865,0
Female,Black,0,0.0015267893,0
Female,White,0,0.068251036,0
Female,White,0,0.015805295,0
Male,White,0,0.015143973,0
Male,White,1,0.6606436,1
Male,White,0,0.044504456,0
Male,White,0,0.09875998,0
Male,White,0,0.40347037,0
Male,White,0,0.3400829,0
Female,Other,0,0.0065713893,0
Male,White,0,0.039218698,0
Female,Black,0,0.6040523,1
Male,Black,0,0.0721373,0
Male,White,0,0.29733816,0
Male,White,0,0.28987813,0
Male,White,0,0.08204744,0
Female,White,0,0.008120114,0
Female,White,0,0.13871959,0
Male,White,0,0.0012221525,0
Female,White,0,0.04011979,0
Female,White,0,0.005896207,0
Female,White,0,0.0024097555,0
Male,White,1,0.6291641,1
Male,White,0,0.0018922709,0
Male,White,0,0.09088645,0
Female,White,0,0.0007237501,0
Male,White,0,0.00043107575,0
Male,White,1,0.88209903,1
Male,White,1,0.647254,1
Male,White,0,0.5872574,1
Female,Black,0,0.01827466,0
Male,White,0,0.8399387,1
Male,White,0,0.51117206,1
Male,Black,0,0.02659349,0
Male,White,0,0.034812633,0
Male,White,0,0.025357405,0
Male,White,0,0.24936,0
Female,Black,0,0.0025448257,0
Male,White,1,0.07549873,0
Female,White,0,0.0012571214,0
Female,White,1,0.98725027,1
Male,White,0,0.0567709,0
Female,White,0,0.0039863084,0
Male,White,0,0.059639797,0
Female,White,1,0.54510254,1
Female,White,0,0.0081111975,0
Female,Black,0,0.013341513,0
Male,Asian-Pac-Islander,0,0.3205136,0
Male,White,0,0.62109214,1
Male,White,1,0.6123763,1
Male,Asian-Pac-Islander,1,0.4059257,0
Male,White,0,0.010762847,0
Male,White,0,0.22260526,0
Female,Black,0,0.0047538346,0
Female,Black,0,0.017917352,0
Male,White,0,0.5242044,1
Female,White,0,0.039810617,0
Female,White,0,0.09022248,0
Male,White,0,0.3756689,0
Female,White,0,0.00090528437,0
Male,White,1,0.7901994,1
Male,White,0,0.0018263776,0
Male,White,0,0.009267431,0
Female,White,0,0.0024856264,0
Male,White,1,0.95817214,1
Male,White,0,0.0042091534,0
Female,White,0,0.00016897614,0
Female,White,1,0.6489788,1
Male,White,0,0.048772547,0
Male,White,0,0.020742651,0
Female,White,0,0.052822843,0
Female,White,0,0.077205,0
Male,Amer-Indian-Eskimo,0,0.029004356,0
Male,White,0,0.17623141,0
Female,Black,0,0.0074506192,0
Male,White,0,0.025055047,0
Male,White,0,0.1982322,0
Male,White,0,0.0006225791,0
Male,Black,0,0.044766225,0
Male,White,0,0.00068714126,0
Male,White,0,0.2883617,0
Female,White,0,0.03316096,0
Female,White,0,0.057496626,0
Female,White,0,0.008717378,0
Male,White,0,0.038947817,0
Male,White,0,0.13597474,0
Male,White,0,0.087042235,0
Male,White,0,0.620399,1
Male,Asian-Pac-Islander,0,0.80530727,1
Male,Black,0,0.00023628424,0
Male,White,0,0.00022696698,0
Male,Black,0,0.022966584,0
Male,White,1,0.24973157,0
Male,White,0,0.12230511,0
Male,White,1,0.12156837,0
Male,White,0,0.015793357,0
Female,White,1,0.3396663,0
Female,White,0,0.016926939,0
Male,White,1,0.4669522,0
Male,White,0,0.29200122,0
Male,White,1,0.40221402,0
Male,White,0,0.24862091,0
Male,White,0,0.2884601,0
Male,White,1,0.76904273,1
Male,White,1,0.13967256,0
Male,White,0,0.7254459,1
Male,Amer-Indian-Eskimo,0,0.022812102,0
Male,White,1,0.3260671,0
Female,White,0,0.012035446,0
Male,White,0,0.734885,1
Male,White,0,0.2453571,0
Male,White,0,0.20708595,0
Male,White,0,0.042480547,0
Male,White,1,0.67890626,1
Female,White,0,0.015586633,0
Female,White,0,0.0015163112,0
Female,White,0,0.0061017396,0
Male,White,1,0.39004984,0
Male,White,1,0.67626965,1
Female,White,1,0.73780644,1
Female,White,0,0.0090545835,0
Female,White,0,0.1083076,0
Female,White,1,0.020581001,0
Male,White,0,0.0026399917,0
Female,White,0,0.005648159,0
Male,Black,1,0.39631015,0
Male,White,0,0.51622164,1
Male,White,0,0.009604965,0
Female,White,0,0.10932683,0
Female,White,1,0.87895215,1
Female,White,1,0.37895864,0
Male,White,0,0.024697917,0
Female,White,0,0.00058952166,0
Male,White,0,0.0024567926,0
Male,White,0,0.0014780937,0
Male,White,1,0.6732479,1
Male,White,0,0.092131935,0
Male,White,0,0.0027971058,0
Male,White,0,0.001960025,0
Male,White,0,0.16913989,0
Female,White,1,0.5417479,1
Male,White,0,0.21111082,0
Male,White,0,0.3031385,0
Female,White,0,0.012815777,0
Male,White,0,0.22219738,0
Male,White,0,0.5380905,1
Female,Black,0,0.004005185,0
Female,White,0,0.7900291,1
Male,White,0,0.29408863,0
Male,White,1,0.20708595,0
Male,White,1,0.7400001,1
Female,White,0,0.0004244676,0
Male,White,0,0.1583762,0
Female,Black,0,0.012957945,0
Male,White,0,0.5051898,1
Male,Black,0,0.0023580603,0
Male,White,0,0.18319213,0
Female,White,0,0.0011723969,0
Female,White,0,0.00046182328,0
Male,White,0,0.00015956527,0
Male,Black,0,0.30030403,0
Male,White,0,0.054891184,0
Female,White,0,0.029379627,0
Male,White,0,0.20708595,0
Male,White,0,0.4385462,0
Male,Black,0,0.17379402,0
Male,White,0,0.45027524,0
Male,White,0,0.3817421,0
Female,White,0,0.034513276,0
Male,White,0,0.0650826,0
Male,White,1,0.4294943,0
Female,Asian-Pac-Islander,0,0.05891977,0
Male,White,0,0.3588317,0
Male,White,0,0.011730724,0
Female,Black,0,0.00041910715,0
Male,White,0,0.52454454,1
Male,White,0,0.5453936,1
Male,White,0,0.023119325,0
Male,White,0,0.0164902,0
Male,White,0,0.027974755,0
Female,White,0,0.3836346,0
Male,White,1,0.88790494,1
Male,White,1,0.3791183,0
Male,White,0,0.46581188,0
Female,White,0,0.021708813,0
Female,Asian-Pac-Islander,0,0.04525286,0
Male,White,0,0.01898099,0
Male,White,0,0.12725675,0
Female,White,0,0.00025973783,0
Male,White,1,0.7141632,1
Male,Black,1,0.59863997,1
Male,White,1,0.9861916,1
Male,White,0,0.11632993,0
Male,White,0,0.067823045,0
Male,White,1,0.8107606,1
Male,White,0,0.2710563,0
Male,White,0,0.69208634,1
Male,White,0,0.07414838,0
Male,White,1,0.9436836,1
Male,White,1,0.5991968,1
Male,White,1,0.630175,1
Female,Black,0,0.0024451504,0
Male,White,1,0.5970709,1
Female,White,0,0.027152875,0
Male,White,0,0.06598152,0
Male,White,0,0.84324074,1
Male,White,0,0.0004450871,0
Male,White,1,0.87641454,1
Male,White,1,0.381052,0
Male,White,1,0.8366575,1
Male,White,1,0.36371517,0
Female,Black,0,0.009393464,0
Male,White,0,0.2999299,0
Male,White,0,0.47247368,0
Female,White,0,0.011247611,0
Male,White,1,0.5846055,1
Male,White,0,0.00010695526,0
Male,White,0,0.09869449,0
Female,White,0,0.14878954,0
Female,Black,1,0.17591433,0
Male,White,1,0.62952447,1
Female,White,0,0.030168785,0
Male,White,0,0.22224541,0
Male,White,0,0.0011071939,0
Male,White,0,0.2615429,0
Male,White,0,0.21209022,0
Male,White,0,0.003924676,0
Male,White,0,0.018342918,0
Male,White,1,0.9733863,1
Male,White,0,0.3628225,0
Male,White,0,0.0066905245,0
Male,Black,0,0.013695588,0
Male,White,0,0.12985855,0
Male,White,1,0.7697963,1
Male,Other,0,0.6178291,1
Male,White,0,0.640346,1
Male,Asian-Pac-Islander,1,0.4181282,0
Male,White,0,0.05042354,0
Male,White,0,0.0061115474,0
Male,White,0,0.5819946,1
Male,White,0,0.70264745,1
Male,White,0,0.31192532,0
Male,Black,0,0.75384533,1
Male,White,0,0.08381378,0
Male,White,0,0.13516995,0
Male,White,0,0.3051364,0
Female,White,0,0.001371298,0
Male,White,1,0.31629685,0
Female,White,0,0.14226791,0
Male,White,1,0.5993787,1
Female,White,0,0.008737612,0
Male,White,1,0.44707003,0
